Food_items,Breakfast,Lunch,Dinner,Veg/NonVeg,Calories,Fats,Proteins,Iron,Calcium,Sodium,Potassium,Carbohydrates,Fibre,VitaminD,Sugars,BMI_Range
Baked Potatoes and Green Peas,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baked Potatoes and Mushrooms,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baked Potatoes and Spinach,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baked Potatoes with Cottage Cheese,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baked Potatoes with Cream,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baked Potatoes with Mushrooms,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baked Potatoes with Spinach,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baked Pumpkin,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baked Pyaz Ki Kachori,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baked Pyaz ki Kachori,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baked Ragda Pattice,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baked Rasgulla,0,0,1,1,200,3.5,2.0,0.5,35,20,30,25.0,0.0,0.0,20.0,Healthy
Baked Rice,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baked Samosa,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baked Samosa,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baked Sev,0,1,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baked Sevaiyan,0,0,1,1,150,3.0,3.5,0.5,25,15,28,20.0,0.0,0.0,15.0,Healthy
Baked Shakkarpare,0,1,0,1,50,1.0,1.5,0.2,6,5,8,6.0,0.2,0.0,5.0,Healthy
Baked Spinach and Paneer,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baked Spinach and Potato,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baked Spinach and Tomato,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baked Spinach Cheese,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baked Spinach Dish,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baked Spinach in White Sauce,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baked Spinach,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baked Stuffed Capsicum,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baked Stuffed Tomatoes,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baked Sweet Potato Chips,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baked Sweet Potato Fries,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baked Sweet Potatoes,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baked Tandoori Paneer Tikka,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baked Tandoori Potatoes,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baked Thalipeeth,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baked Thepla,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baked Tomato and Cheese,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baked Tomato Cheese Corn,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baked Tomato Soup,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baked Tomato,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baked Tortilla Chips,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baked Vegetable Au Gratin,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baked Vegetable Cutlets,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baked Vegetable Pie,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baked Vegetable Samosa,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baked Vegetable Soup,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baked Vegetable Spring Rolls,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baked Vegetable,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baked Vegetables in Spinach Sauce,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baked Vegetables in Tomato Sauce,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baked Vegetables with Cheese,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baked Vegetables with Pasta,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baked Vegetables with Spaghetti,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baked Vegetables with Tomato Sauce,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baked Veggie,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baked Vermicelli,0,0,1,1,150,3.0,3.5,0.5,25,15,28,20.0,0.0,0.0,15.0,Healthy
Baked Vrat Wale Aloo,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baked Zucchini Chips,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baked Zucchini Fries,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baked Zucchini,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Bakewell Tart,0,0,1,1,200,4.5,2.0,0.6,30,15,35,20.0,0.0,0.0,15.0,Healthy
Bakwan Jagung,0,1,0,1,50,1.0,1.5,0.2,6,5,8,6.0,0.2,0.0,5.0,Healthy
Bakwan Tahu,0,1,0,1,50,1.0,1.5,0.2,6,5,8,6.0,0.2,0.0,5.0,Healthy
Balushahi,0,0,1,1,200,4.5,2.0,0.6,30,15,35,20.0,0.0,0.0,15.0,Healthy
Banana and Chocolate Cake,0,0,1,1,200,4.5,2.0,0.6,30,15,35,20.0,0.0,0.0,15.0,Healthy
Banana and Dates Shake,0,0,1,1,200,4.5,2.0,0.6,30,15,35,20.0,0.0,0.0,15.0,Healthy
Banana and Date Shake,0,0,1,1,200,4.5,2.0,0.6,30,15,35,20.0,0.0,0.0,15.0,Healthy
Banana and Mango Shake,0,0,1,1,200,4.5,2.0,0.6,30,15,35,20.0,0.0,0.0,15.0,Healthy
Banana and Papaya Shake,0,0,1,1,200,4.5,2.0,0.6,30,15,35,20.0,0.0,0.0,15.0,Healthy
Banana and Peanut Butter Smoothie,0,0,1,1,200,4.5,2.0,0.6,30,15,35,20.0,0.0,0.0,15.0,Healthy
Banana and Walnut Shake,0,0,1,1,200,4.5,2.0,0.6,30,15,35,20.0,0.0,0.0,15.0,Healthy
Banana Apple Smoothie,0,0,1,1,200,4.5,2.0,0.6,30,15,35,20.0,0.0,0.0,15.0,Healthy
Banana Apple Walnut Bread,0,0,1,1,200,4.5,2.0,0.6,30,15,35,20.0,0.0,0.0,15.0,Healthy
Banana Bread French Toast,0,0,1,1,200,4.5,2.0,0.6,30,15,35,20.0,0.0,0.0,15.0,Healthy
Banana Bread Pudding,0,0,1,1,200,4.5,2.0,0.6,30,15,35,20.0,0.0,0.0,15.0,Healthy
Banana Cake,0,0,1,1,200,4.5,2.0,0.6,30,15,35,20.0,0.0,0.0,15.0,Healthy
Banana Chocolate Chip Pancake,0,0,1,1,200,4.5,2.0,0.6,30,15,35,20.0,0.0,0.0,15.0,Healthy
Banana Chocolate Chip Pancakes,0,0,1,1,200,4.5,2.0,0.6,30,15,35,20.0,0.0,0.0,15.0,Healthy
Banana Chocolate Muffins,0,0,1,1,200,4.5,2.0,0.6,30,15,35,20.0,0.0,0.0,,
Baby Corn Khichdi,1,0,0,1,200,4.0,5.0,0.6,30,20,35,22.0,0.5,0.0,20.0,Healthy
Baby Corn Manchurian,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baby Corn Manchurian Gravy,1,0,0,1,200,4.0,5.0,0.6,30,20,35,22.0,0.5,0.0,20.0,Healthy
Baby Corn Manchurian Recipe,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baby Corn Masala,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baby Corn Methi Subzi,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baby Corn Noodles,1,0,0,1,200,4.0,5.0,0.6,30,20,35,22.0,0.5,0.0,20.0,Healthy
Baby Corn Paneer Pulao,1,0,0,1,200,4.0,5.0,0.6,30,20,35,22.0,0.5,0.0,20.0,Healthy
Baby Corn Pepper Fry,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baby Corn Pulao,1,0,0,1,200,4.0,5.0,0.6,30,20,35,22.0,0.5,0.0,20.0,Healthy
Baby Corn Sabzi,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baby Corn Salad,1,0,0,1,70,1.0,1.5,0.3,15,10,18,20.0,0.5,0.0,10.0,Healthy
Baby Corn Soup,1,0,0,1,70,1.0,1.5,0.3,15,10,18,20.0,0.5,0.0,10.0,Healthy
Baby Corn Spinach Sabzi,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baby Corn Stir Fry,1,0,0,1,120,2.5,3.0,0.4,25,15,30,20.0,0.5,0.0,15.0,Healthy
Baby Corn Subzi,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baby Corn Sweet Corn Stir Fry,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baby Corn Tomato Curry,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baby Corn Vegetable Gravy,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baby Corn Vegetable Soup,1,0,0,1,70,1.0,1.5,0.3,15,10,18,20.0,0.5,0.0,10.0,Healthy
Baby Corn with Almonds,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baby Corn with Baby Onions,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baby Corn with Cashewnuts,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baby Corn with Coconut Milk,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baby Corn with Corn Flour,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baby Corn with Green Grapes,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baby Corn with Green Peas,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baby Corn with Mushrooms,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baby Corn with Mustard Seeds,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baby Corn with Onion Rings,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baby Corn with Pineapple,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baby Corn with Potato,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baby Corn with Spinach,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baby Corn with Sweet Corn,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baby Corn with Tomatoes,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baby Corn with Tomato Puree,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baby Corn with White Gravy,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baby Corn with White Sauce,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baby Corn with White Sauce Pasta,1,0,0,1,200,4.0,5.0,0.6,30,20,35,22.0,0.5,0.0,20.0,Healthy
Baby Corn with Yogurt,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baby Corn,1,0,0,1,50,1.0,1.5,0.2,8,5,10,8.0,0.2,0.0,5.0,Healthy
Baby Potatoes with Spinach,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baby Spinach Soup,1,0,0,1,70,1.0,1.5,0.3,15,10,18,20.0,0.5,0.0,10.0,Healthy
Bacardi Pina Colada,0,0,1,1,200,3.5,2.0,0.5,35,20,30,25.0,0.0,0.0,20.0,Healthy
Badam Barfi,0,0,1,1,200,3.5,3.5,0.4,30,20,35,22.0,0.0,0.0,20.0,Healthy
Badam Halwa,0,0,1,1,150,3.0,3.5,0.4,25,15,30,20.0,0.0,0.0,15.0,Healthy
Badam Ka Halwa,0,0,1,1,150,3.0,3.5,0.4,25,15,30,20.0,0.0,0.0,15.0,Healthy
Badam Kheer,0,0,1,1,150,3.0,3.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Badam Milk,0,0,1,1,100,1.5,2.0,0.4,20,12,25,18.0,0.0,0.0,12.0,Healthy
Badam Palak,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Badam Puri,0,1,0,1,50,1.0,1.5,0.1,6,5,8,6.0,0.2,0.0,5.0,Healthy
Badam Sheera,0,0,1,1,150,3.0,3.5,0.4,25,15,30,20.0,0.0,0.0,15.0,Healthy
Badam Shorba,1,0,0,1,80,1.0,1.5,0.3,15,10,18,20.0,0.5,0.0,10.0,Healthy
Badam ka Sharbat,0,0,1,1,200,3.5,3.0,0.5,35,20,30,25.0,0.0,0.0,20.0,Healthy
Badam with Milk,0,0,1,1,100,1.5,2.0,0.4,20,12,25,18.0,0.0,0.0,12.0,Healthy
Bael Sherbet,0,0,1,1,200,4.0,4.0,0.6,30,20,35,22.0,0.0,0.0,20.0,Healthy
Baingan Bharta,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baingan Bharta Recipe,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baingan Fry,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baingan Ka Bharta,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baingan Ka Bhartha,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baingan ki Lonje,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baingan ki Sabji,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baingan,1,0,0,1,100,2.0,3.0,0.4,20,12,25,18.0,0.0,0.0,12.0,Healthy
Bainganwali Bhindi,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Bajra Bhakri,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Bajra Roti,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baked Baby Potatoes,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baked Beans Curry,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baked Beans on Toast,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baked Beans,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baked Beetroot Puri,1,0,0,1,100,2.0,3.0,0.4,20,12,25,18.0,0.0,0.0,12.0,Healthy
Baked Besan Chaklis,0,1,0,1,50,1.0,1.5,0.2,6,5,8,6.0,0.2,0.0,5.0,Healthy
Baked Bread Rolls,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baked Brinjal,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baked Cheese Ball,0,1,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baked Cheese Dip,0,1,0,1,200,4.0,3.0,0.5,35,20,30,25.0,0.0,0.0,20.0,Healthy
Baked Cheese Stuffed Mushrooms,1,0,0,1,100,2.0,3.0,0.4,20,12,25,18.0,0.0,0.0,12.0,Healthy
Baked Cheese Toast,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baked Cheesy Corn Dip,0,1,0,1,200,3.5,3.0,0.5,35,20,30,25.0,0.0,0.0,20.0,Healthy
Baked Cheesy Cornflakes,0,1,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baked Cheesy Garlic Potatoes,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baked Cheesy Mexican Rice,1,0,0,1,200,4.0,5.0,0.6,30,20,35,22.0,0.5,0.0,20.0,Healthy
Baked Cheesy Mushrooms,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baked Cheesy Paneer Rolls,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baked Cheesy Pasta,1,0,0,1,200,4.0,5.0,0.6,30,20,35,22.0,0.5,0.0,20.0,Healthy
Baked Cheesy Potato Wedges,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baked Cheesy Potatoes,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baked Cheesy Rice,1,0,0,1,200,4.0,5.0,0.6,30,20,35,22.0,0.5,0.0,20.0,Healthy
Baked Cheesy Spinach,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baked Cheesy Tomato,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baked Cheesy Veggie Pasta,1,0,0,1,200,4.0,5.0,0.6,30,20,35,22.0,0.5,0.0,20.0,Healthy
Baked Chole,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baked Corn and Capsicum,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baked Corn and Cheese,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baked Corn and Paneer,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baked Corn and Spinach,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baked Corn and Spinach,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baked Corn and Vegetable,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baked Corn Casserole,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baked Corn Cheese,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baked Corn Cheese Vada,0,1,0,1,50,1.0,1.0,0.1,6,5,8,6.0,0.2,0.0,5.0,Healthy
Baked Corn Rolls,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baked Corn with Peas,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baked Corn with Salsa,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baked Corn,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baked Dal Kabab,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baked Drumstick,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baked Egg Curry,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baked Eggplant,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baked Eggplant and Potato,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baked Eggplant and Zucchini,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baked Eggplant Curry,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baked Eggplant in Tomato Sauce,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baked Eggplant Parmesan,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baked Eggplant with Cheese,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baked Eggplant with Tomato,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baked Eggplant with Yoghurt,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baked Eggs,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baked French Fries,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baked Green Peas,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baked Karanji,0,1,0,1,50,1.0,1.5,0.2,6,5,8,6.0,0.2,0.0,5.0,Healthy
Baked Kofta,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baked Masala Baati,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baked Masala Papad,0,1,0,1,50,1.0,1.0,0.1,6,5,8,6.0,0.2,0.0,5.0,Healthy
Baked Masala Peanuts,0,1,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baked Mathris,0,1,0,1,50,1.0,1.5,0.2,6,5,8,6.0,0.2,0.0,5.0,Healthy
Baked Methi Mathri,0,1,0,1,50,1.0,1.5,0.2,6,5,8,6.0,0.2,0.0,5.0,Healthy
Baked Methi Puris,0,1,0,1,50,1.0,1.5,0.2,6,5,8,6.0,0.2,0.0,5.0,Healthy
Baked Methi Seeds Mathri,0,1,0,1,50,1.0,1.5,0.2,6,5,8,6.0,0.2,0.0,5.0,Healthy
Baked Methi Sev,0,1,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baked Moong Dal Mathri,0,1,0,1,50,1.0,1.5,0.2,6,5,8,6.0,0.2,0.0,5.0,Healthy
Baked Moong Dal Sev,0,1,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baked Moong Dal Snack,0,1,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baked Moong Mathri,0,1,0,1,50,1.0,1.5,0.2,6,5,8,6.0,0.2,0.0,5.0,Healthy
Baked Namak Para,0,1,0,1,50,1.0,1.5,0.2,6,5,8,6.0,0.2,0.0,5.0,Healthy
Baked Namkeen,0,1,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baked Nimki,0,1,0,1,50,1.0,1.5,0.2,6,5,8,6.0,0.2,0.0,5.0,Healthy
Baked Onion Bhajiya,0,1,0,1,50,1.0,1.5,0.2,6,5,8,6.0,0.2,0.0,5.0,Healthy
Baked Onion Pakora,0,1,0,1,50,1.0,1.5,0.2,6,5,8,6.0,0.2,0.0,5.0,Healthy
Baked Onion Ring,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baked Onion Rings,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baked Pakora,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baked Paneer Bread Pakoras,0,1,0,1,50,1.0,1.5,0.2,6,5,8,6.0,0.2,0.0,5.0,Healthy
Baked Paneer Bread Rolls,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baked Paneer Cubes,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baked Paneer Cutlet,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baked Paneer Fingers,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baked Paneer Masala,1,0,0,1,150,3.0,4.0,0.5,25,18,28,15.0,0.0,0.0,18.0,Healthy
Baked Paneer Pakora,0,1,0,1,50,1.0,1.5,0.2,6,5,8,6.0,0.2,0.0,5.0,Healthy
